1.8588,0.089355,1
1.8264,0.15033,1
1.8597,0.2144,1
1.8782,0.21025,1
1.8309,0.30599,1
1.8394,0.39259,1
1.839,0.37478,1
1.8345,0.46451,1
1.8032,0.49851,1
1.7417,0.58014,1
1.7816,0.5913,1
1.755,0.71472,1
1.6776,0.72573,1
1.6444,0.74605,1
1.6724,0.80736,1
1.6318,0.90597,1
1.5594,0.92836,1
1.5568,0.97111,1
1.5192,1.0621,1
1.5313,1.0718,1
1.5036,1.1411,1
1.4431,1.1672,1
1.3921,1.1874,1
1.3912,1.3107,1
1.3035,1.2716,1
1.2896,1.328,1
1.1887,1.3852,1
1.2096,1.4642,1
1.1353,1.4438,1
1.1354,1.5146,1
1.0474,1.5543,1
0.97044,1.5699,1
0.92746,1.6323,1
0.93459,1.661,1
0.84904,1.6411,1
0.77093,1.6396,1
0.76488,1.6706,1
0.67409,1.7272,1
0.61544,1.7785,1
0.56316,1.7965,1
0.50927,1.7778,1
0.49061,1.8387,1
0.38728,1.8526,1
0.38921,1.8252,1
0.32389,1.8476,1
0.2198,1.8302,1
0.2176,1.8582,1
0.14494,1.8775,1
0.017803,1.8226,1
0.0095086,1.881,1
-0.058494,1.8288,1
-0.073998,1.8134,1
-0.13975,1.861,1
-0.27642,1.8178,1
-0.28913,1.8237,1
-0.32741,1.806,1
-0.37772,1.8009,1
-0.46189,1.8063,1
-0.47261,1.7362,1
-0.55077,1.7909,1
-0.60347,1.7817,1
-0.7146,1.7116,1
-0.72147,1.7213,1
-0.80954,1.6507,1
-0.82069,1.6165,1
-0.86858,1.6076,1
-0.95972,1.5995,1
-0.95352,1.6095,1
-1.0679,1.5477,1
-1.0875,1.4969,1
-1.1433,1.4785,1
-1.2278,1.4123,1
-1.2398,1.4306,1
-1.2456,1.3851,1
-1.2858,1.3504,1
-1.3609,1.3035,1
-1.4115,1.2555,1
-1.387,1.1978,1
-1.4745,1.1339,1
-1.5141,1.0889,1
-1.5655,1.0047,1
-1.5309,1.0137,1
-1.6167,0.95719,1
-1.6283,0.88567,1
-1.6573,0.82133,1
-1.723,0.82219,1
-1.7124,0.73079,1
